id,escenario,condicion_real,prediccion,notas
1,"microsueno: ojos cerrados 2-3 s, de frente",SOMNOLIENTO,,
2,"microsueno: ojos cerrados 2-3 s, de frente",SOMNOLIENTO,,
3,"microsueno: ojos cerrados 2-3 s, de frente",SOMNOLIENTO,,
4,"microsueno: ojos cerrados 2-3 s, de frente",SOMNOLIENTO,,
5,"microsueno: ojos cerrados 2-3 s, de frente",SOMNOLIENTO,,
6,"microsueno: ojos cerrados 2-3 s, de frente",SOMNOLIENTO,,
7,"microsueno: ojos cerrados 2-3 s, de frente",SOMNOLIENTO,,
8,"microsueno: ojos cerrados 2-3 s, de frente",SOMNOLIENTO,,
9,"microsueno: ojos cerrados 2-3 s, de frente",SOMNOLIENTO,,
10,"microsueno: ojos cerrados 2-3 s, de frente",SOMNOLIENTO,,
11,"microsueno: ojos cerrados 2-3 s, de frente",SOMNOLIENTO,,
12,"microsueno: ojos cerrados 2-3 s, de frente",SOMNOLIENTO,,
13,"microsueno: ojos cerrados 2-3 s, de frente",SOMNOLIENTO,,
14,"microsueno: ojos cerrados 2-3 s, de frente",SOMNOLIENTO,,
15,"microsueno: ojos cerrados 2-3 s, de frente",SOMNOLIENTO,,
16,"microsueno: ojos cerrados 2-3 s, de frente",SOMNOLIENTO,,
17,"microsueno: ojos cerrados 2-3 s, de frente",SOMNOLIENTO,,
18,"microsueno: ojos cerrados 2-3 s, de frente",SOMNOLIENTO,,
19,"microsueno: ojos cerrados 2-3 s, de frente",SOMNOLIENTO,,
20,"microsueno: ojos cerrados 2-3 s, de frente",SOMNOLIENTO,,
21,microsueno con lentes: ojos cerrados 2-3 s,SOMNOLIENTO,,
22,microsueno con lentes: ojos cerrados 2-3 s,SOMNOLIENTO,,
23,microsueno con lentes: ojos cerrados 2-3 s,SOMNOLIENTO,,
24,microsueno con lentes: ojos cerrados 2-3 s,SOMNOLIENTO,,
25,microsueno con lentes: ojos cerrados 2-3 s,SOMNOLIENTO,,
26,microsueno con lentes: ojos cerrados 2-3 s,SOMNOLIENTO,,
27,microsueno con lentes: ojos cerrados 2-3 s,SOMNOLIENTO,,
28,microsueno con lentes: ojos cerrados 2-3 s,SOMNOLIENTO,,
29,microsueno con lentes: ojos cerrados 2-3 s,SOMNOLIENTO,,
30,microsueno con lentes: ojos cerrados 2-3 s,SOMNOLIENTO,,
31,microsueno con lentes: ojos cerrados 2-3 s,SOMNOLIENTO,,
32,microsueno con lentes: ojos cerrados 2-3 s,SOMNOLIENTO,,
33,microsueno con lentes: ojos cerrados 2-3 s,SOMNOLIENTO,,
34,microsueno con lentes: ojos cerrados 2-3 s,SOMNOLIENTO,,
35,microsueno con lentes: ojos cerrados 2-3 s,SOMNOLIENTO,,
36,microsueno con lentes: ojos cerrados 2-3 s,SOMNOLIENTO,,
37,microsueno con lentes: ojos cerrados 2-3 s,SOMNOLIENTO,,
38,microsueno con lentes: ojos cerrados 2-3 s,SOMNOLIENTO,,
39,microsueno con lentes: ojos cerrados 2-3 s,SOMNOLIENTO,,
40,microsueno con lentes: ojos cerrados 2-3 s,SOMNOLIENTO,,
41,somnolencia gradual: parpadeo pesado + cierres >1 s repetidos (PERCLOS),SOMNOLIENTO,,
42,somnolencia gradual: parpadeo pesado + cierres >1 s repetidos (PERCLOS),SOMNOLIENTO,,
43,somnolencia gradual: parpadeo pesado + cierres >1 s repetidos (PERCLOS),SOMNOLIENTO,,
44,somnolencia gradual: parpadeo pesado + cierres >1 s repetidos (PERCLOS),SOMNOLIENTO,,
45,somnolencia gradual: parpadeo pesado + cierres >1 s repetidos (PERCLOS),SOMNOLIENTO,,
46,somnolencia gradual: parpadeo pesado + cierres >1 s repetidos (PERCLOS),SOMNOLIENTO,,
47,somnolencia gradual: parpadeo pesado + cierres >1 s repetidos (PERCLOS),SOMNOLIENTO,,
48,somnolencia gradual: parpadeo pesado + cierres >1 s repetidos (PERCLOS),SOMNOLIENTO,,
49,somnolencia gradual: parpadeo pesado + cierres >1 s repetidos (PERCLOS),SOMNOLIENTO,,
50,somnolencia gradual: parpadeo pesado + cierres >1 s repetidos (PERCLOS),SOMNOLIENTO,,
51,somnolencia gradual: parpadeo pesado + cierres >1 s repetidos (PERCLOS),SOMNOLIENTO,,
52,somnolencia gradual: parpadeo pesado + cierres >1 s repetidos (PERCLOS),SOMNOLIENTO,,
53,somnolencia gradual: parpadeo pesado + cierres >1 s repetidos (PERCLOS),SOMNOLIENTO,,
54,somnolencia gradual: parpadeo pesado + cierres >1 s repetidos (PERCLOS),SOMNOLIENTO,,
55,somnolencia gradual: parpadeo pesado + cierres >1 s repetidos (PERCLOS),SOMNOLIENTO,,
56,somnolencia gradual: parpadeo pesado + cierres >1 s repetidos (PERCLOS),SOMNOLIENTO,,
57,somnolencia gradual: parpadeo pesado + cierres >1 s repetidos (PERCLOS),SOMNOLIENTO,,
58,somnolencia gradual: parpadeo pesado + cierres >1 s repetidos (PERCLOS),SOMNOLIENTO,,
59,somnolencia gradual: parpadeo pesado + cierres >1 s repetidos (PERCLOS),SOMNOLIENTO,,
60,somnolencia gradual: parpadeo pesado + cierres >1 s repetidos (PERCLOS),SOMNOLIENTO,,
61,cabeceo: caida de cabeza sostenida >=3 s,SOMNOLIENTO,,
62,cabeceo: caida de cabeza sostenida >=3 s,SOMNOLIENTO,,
63,cabeceo: caida de cabeza sostenida >=3 s,SOMNOLIENTO,,
64,cabeceo: caida de cabeza sostenida >=3 s,SOMNOLIENTO,,
65,cabeceo: caida de cabeza sostenida >=3 s,SOMNOLIENTO,,
66,cabeceo: caida de cabeza sostenida >=3 s,SOMNOLIENTO,,
67,cabeceo: caida de cabeza sostenida >=3 s,SOMNOLIENTO,,
68,cabeceo: caida de cabeza sostenida >=3 s,SOMNOLIENTO,,
69,cabeceo: caida de cabeza sostenida >=3 s,SOMNOLIENTO,,
70,cabeceo: caida de cabeza sostenida >=3 s,SOMNOLIENTO,,
71,cabeceo: caida de cabeza sostenida >=3 s,SOMNOLIENTO,,
72,cabeceo: caida de cabeza sostenida >=3 s,SOMNOLIENTO,,
73,cabeceo: caida de cabeza sostenida >=3 s,SOMNOLIENTO,,
74,cabeceo: caida de cabeza sostenida >=3 s,SOMNOLIENTO,,
75,cabeceo: caida de cabeza sostenida >=3 s,SOMNOLIENTO,,
76,cabeceo: caida de cabeza sostenida >=3 s,SOMNOLIENTO,,
77,cabeceo: caida de cabeza sostenida >=3 s,SOMNOLIENTO,,
78,cabeceo: caida de cabeza sostenida >=3 s,SOMNOLIENTO,,
